prodid,prodDescription,price1,price2,unitCost,PRODTYPEID,Source,typeDescription,BUID,NAME,ABBREV,supplierName
55,Bumblers Plastic Supplies            ,545.31,466.24,447.59,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,First Bancshares Inc Mo           
58,Characterization Plastic Supplies    ,231.68,185.58,168.88,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Fedders Corporation               
59,Tonnage Plastic Supplies             ,368.75,315.65,309.34,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Afg Industries Inc                
79,Siena Plastic Supplies               ,155.03,136.43,132.34,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Black Hills Corporation           
80,Temporally Plastic Supplies          ,477.53,408.29,371.54,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Fedders Corporation               
91,Scribble Plastic Supplies            ,492.4,405.74,397.63,7,TPCW,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies ,Specialty Teleconstructors Inc    
10,Defeated Tray Supplies               ,559.74,476.9,448.29,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,American General Ventures Inc     
23,Decided Tray Supplies                ,233.3,202.27,198.22,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Dollar General Corporation        
31,Simplifier Tray Supplies             ,408.81,349.12,328.17,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Saurer Gruppe Holding Ag          
33,Consumable Tray Supplies             ,395.7,347.42,337,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,First Bancshares Inc Mo           
41,Consideration Tray Supplies          ,172.56,146.85,139.51,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,American General Ventures Inc     
57,South Tray Supplies                  ,241.3,205.1,203.05,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Sinclair Broadcast Group Inc      
69,Hits Tray Supplies                   ,439.53,359.1,341.14,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Black Hills Corporation           
72,Anthem Tray Supplies                 ,134.92,112.39,109.02,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Fedders Corporation               
88,Vestiges Tray Supplies               ,231.45,192.1,186.34,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Saurer Gruppe Holding Ag          
92,Behind Tray Supplies                 ,166.65,138.99,129.26,8,TPCW,Tray Supplies          ,B        ,Disposable Supplies ,Supplies ,Afg Industries Inc                
14,Engle Photo Chemicals                ,429.94,346.1,342.64,9,TPCW,Photo Chemicals        ,C        ,Chemicals           ,Chemicals,Black Hills Corporation           
54,Honeymoon Photo Chemicals            ,326.13,292.21,271.76,9,TPCW,Photo Chemicals        ,C        ,Chemicals           ,Chemicals,Afg Industries Inc                
78,Measured Photo Chemicals             ,318.06,270.67,254.43,9,TPCW,Photo Chemicals        ,C        ,Chemicals           ,Chemicals,Immunex Corporation               
102,Measured Photo Chemicals             ,318.06,270.67,254.43,9,TPCW,Photo Chemicals        ,C        ,Chemicals           ,Chemicals,Immunex Corporation               
9,Millimeters Flushing Chemicals       ,295.56,251.82,241.75,10,TPCW,Flushing Chemicals     ,C        ,Chemicals           ,Chemicals,Afg Industries Inc                
49,Visage Flushing Chemicals            ,567.75,507.57,466.96,10,TPCW,Flushing Chemicals     ,C        ,Chemicals           ,Chemicals,Afg Industries Inc                
62,Substances Flushing Chemicals        ,507.34,409.93,397.63,10,TPCW,Flushing Chemicals     ,C        ,Chemicals           ,Chemicals,Black Hills Corporation           
98,Barrels Flushing Chemicals           ,135.1,116.59,108.43,10,TPCW,Flushing Chemicals     ,C        ,Chemicals           ,Chemicals,Specialty Teleconstructors Inc    
42,Carelessly Freezing Chemicals        ,559.67,467.88,425.77,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Dollar General Corporation        
47,Significants Freezing Chemicals      ,141.55,113.24,104.18,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Dollar General Corporation        
52,Identical Freezing Chemicals         ,578.07,465.92,447.28,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Sinclair Broadcast Group Inc      
53,Ruffle Freezing Chemicals            ,476.38,394.92,379.12,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Immunex Corporation               
66,Exemplar Freezing Chemicals          ,198.4,160.9,152.85,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Fedders Corporation               
75,Deferrable Freezing Chemicals        ,145.03,124.44,113.24,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Sinclair Broadcast Group Inc      
94,Beliefs Freezing Chemicals           ,566.64,483.91,454.88,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Immunex Corporation               
99,Richards Freezing Chemicals          ,529.35,475.36,470.61,11,TPCW,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,Dollar General Corporation        
5,Automobiles Fillers                  ,283.83,227.63,218.52,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,American General Ventures Inc     
7,Commendation Fillers                 ,436.33,380.04,364.84,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
12,Travelings Photo Chemicals           ,274.39,242.01,225.07,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,American General Ventures Inc     
15,Disposed Fillers                     ,158.84,138.03,132.51,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
29,Bluest Fillers                       ,507.35,428.2,398.23,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,Black Hills Corporation           
64,Berwick Fillers                      ,583.85,487.51,463.13,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
74,Flanker Fillers                      ,271.44,236.15,219.62,12,TPCW,Fillers                ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
3,Sortie Covers                        ,248.21,213.21,206.81,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
11,Sulkiness Covers                     ,354.3,289.82,272.43,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
13,Coward Covers                        ,429.79,348.99,328.05,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
16,Enhanced Covers                      ,460.96,384.44,361.37,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
22,Whippers Covers                      ,488.61,410.43,389.91,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Specialty Teleconstructors Inc    
28,Wonderingly Covers                   ,547.21,467.32,453.3,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Afg Industries Inc                
43,Blazed Covers                        ,495,416.79,404.29,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Afg Industries Inc                
82,Numerals Covers                      ,102.87,88.98,83.64,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Sinclair Broadcast Group Inc      
104,LCARS Covers                         ,289.41,231.42,211.76,13,TPCW,Covers                 ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
51,Reflection Lifts                     ,497.85,447.57,438.62,14,TPCW,Lifts                  ,D        ,Miscellaneous       ,Miscellan,Fedders Corporation               
83,Horses Lifts                         ,487.3,402.51,366.28,14,TPCW,Lifts                  ,D        ,Miscellaneous       ,Miscellan,Saurer Gruppe Holding Ag          
103,Whale Lifts                          ,493.4,406.78,385.43,14,TPCW,Lifts                  ,D        ,Miscellaneous       ,Miscellan,Saurer Gruppe Holding Ag          
2,Tailor Jacks                         ,509.78,429.74,399.66,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,Black Hills Corporation           
19,Hesitating Jacks                     ,124.46,100.07,96.07,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,First Bancshares Inc Mo           
30,Detectives Jacks                     ,283.32,248.47,236.05,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,Specialty Teleconstructors Inc    
45,Slacking Jacks                       ,495.04,399.99,387.99,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
73,Cosgrove Jacks                       ,298.87,267.79,254.4,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,Afg Industries Inc                
76,Scrounge Jacks                       ,301.58,251.22,248.71,15,TPCW,Jacks                  ,D        ,Miscellaneous       ,Miscellan,Dollar General Corporation        
