saleDate_sk,CalendarDay,CalendarWeek,CalendarQuarter,CalendarMonth,CalendarYear,FiscalDay,FiscalWeek,FiscalQuarter,FiscalMonth,FiscalYear,Date,source
506,25,21,2,5,2006,25,33,1,2,2007,5/25/06,PEC
508,24,21,2,5,2006,24,33,1,2,2007,5/24/06,PEC
513,9,32,3,8,2007,9,44,2,5,2008,8/9/07,PEC
515,8,32,3,8,2007,8,44,2,5,2008,8/8/07,PEC
517,23,21,2,5,2006,23,33,1,2,2007,5/23/06,PEC
521,31,32,3,7,2005,31,44,2,4,2006,7/31/05,PEC
529,3,31,3,8,2007,3,43,2,5,2008,8/3/07,PEC
533,24,48,4,11,2005,24,60,3,8,2006,11/24/05,PEC
535,6,32,3,8,2007,6,44,2,5,2008,8/6/07,PEC
547,2,27,3,7,2008,2,39,2,4,2009,7/2/08,PEC
551,3,27,3,7,2008,3,39,2,4,2009,7/3/08,PEC
553,1,27,3,7,2008,1,39,2,4,2009,7/1/08,PEC
555,6,28,3,7,2008,6,40,2,4,2009,7/6/08,PEC
557,7,28,3,7,2008,7,40,2,4,2009,7/7/08,PEC
559,11,46,4,11,2009,11,58,3,8,2010,11/11/09,PEC
564,16,20,2,5,2008,16,32,1,2,2009,5/16/08,PEC
568,14,33,3,8,2007,14,45,2,5,2008,8/14/07,PEC
570,5,19,2,5,2009,5,31,1,2,2010,5/5/09,PEC
574,4,19,2,5,2009,4,31,1,2,2010,5/4/09,PEC
582,7,19,2,5,2009,7,31,1,2,2010,5/7/09,PEC
584,16,7,1,2,2006,16,47,4,11,2006,2/16/06,PEC
586,5,15,2,4,2005,5,27,1,1,2006,4/5/05,PEC
588,6,15,2,4,2005,6,27,1,1,2006,4/6/05,PEC
592,7,15,2,4,2005,7,27,1,1,2006,4/7/05,PEC
594,1,14,2,4,2005,1,26,1,1,2006,4/1/05,PEC
596,26,48,4,11,2005,26,60,3,8,2006,11/26/05,PEC
598,3,15,2,4,2005,3,27,1,1,2006,4/3/05,PEC
602,17,20,2,5,2008,17,32,1,2,2009,5/17/08,PEC
604,8,15,2,4,2005,8,27,1,1,2006,4/8/05,PEC
608,15,25,2,6,2009,15,37,1,3,2010,6/15/09,PEC
611,3,19,2,5,2009,3,31,1,2,2010,5/3/09,PEC
615,4,49,4,12,2007,4,61,3,9,2008,12/4/07,PEC
617,2,18,2,5,2009,2,30,1,2,2010,5/2/09,PEC
619,9,37,3,9,2007,9,49,2,6,2008,9/9/07,PEC
620,5,36,3,9,2007,5,48,2,6,2008,9/5/07,PEC
622,6,36,3,9,2007,6,48,2,6,2008,9/6/07,PEC
624,7,36,3,9,2007,7,48,2,6,2008,9/7/07,PEC
626,9,50,4,12,2005,9,62,3,9,2006,12/9/05,PEC
630,2,36,3,9,2007,2,48,2,6,2008,9/2/07,PEC
632,29,40,3,9,2010,29,52,2,6,2011,9/29/10,PEC
634,8,50,4,12,2005,8,62,3,9,2006,12/8/05,PEC
636,8,2,1,1,2006,8,42,4,10,2006,1/8/06,PEC
638,9,2,1,1,2006,9,42,4,10,2006,1/9/06,PEC
643,6,1,1,1,2006,6,41,4,10,2006,1/6/06,PEC
647,9,19,2,5,2009,9,31,1,2,2010,5/9/09,PEC
649,4,1,1,1,2006,4,41,4,10,2006,1/4/06,PEC
651,2,1,1,1,2006,2,41,4,10,2006,1/2/06,PEC
653,1,1,1,1,2006,1,41,4,10,2006,1/1/06,PEC
655,19,12,1,3,2009,19,24,4,12,2009,3/19/09,PEC
657,27,43,4,10,2006,27,55,3,7,2007,10/27/06,PEC
659,7,27,3,7,2006,7,39,2,4,2007,7/7/06,PEC
661,10,11,1,3,2009,10,51,4,12,2009,3/10/09,PEC
663,16,12,1,3,2009,16,24,4,12,2009,3/16/09,PEC
667,14,11,1,3,2009,14,51,4,12,2009,3/14/09,PEC
669,11,33,3,8,2005,11,45,2,5,2006,8/11/05,PEC
671,10,19,2,5,2006,10,31,1,2,2007,5/10/06,PEC
673,13,33,3,8,2005,13,45,2,5,2006,8/13/05,PEC
675,12,33,3,8,2005,12,45,2,5,2006,8/12/05,PEC
677,15,34,3,8,2005,15,46,2,5,2006,8/15/05,PEC
679,14,34,3,8,2005,14,46,2,5,2006,8/14/05,PEC
681,17,34,3,8,2005,17,46,2,5,2006,8/17/05,PEC
683,16,34,3,8,2005,16,46,2,5,2006,8/16/05,PEC
687,19,34,3,8,2005,19,46,2,5,2006,8/19/05,PEC
689,18,34,3,8,2005,18,46,2,5,2006,8/18/05,PEC
693,17,33,3,8,2007,17,45,2,5,2008,8/17/07,PEC
695,16,33,3,8,2007,16,45,2,5,2008,8/16/07,PEC
697,15,33,3,8,2007,15,45,2,5,2008,8/15/07,PEC
705,13,33,3,8,2007,13,45,2,5,2008,8/13/07,PEC
707,12,33,3,8,2007,12,45,2,5,2008,8/12/07,PEC
709,11,32,3,8,2007,11,44,2,5,2008,8/11/07,PEC
717,19,34,3,8,2007,19,46,2,5,2008,8/19/07,PEC
719,25,43,4,10,2006,25,55,3,7,2007,10/25/06,PEC
723,2,27,3,7,2007,2,39,2,4,2008,7/2/07,PEC
725,27,21,2,5,2006,27,33,1,2,2007,5/27/06,PEC
729,5,27,3,7,2007,5,39,2,4,2008,7/5/07,PEC
731,8,28,3,7,2007,8,40,2,4,2008,7/8/07,PEC
733,2,14,2,4,2005,2,26,1,1,2006,4/2/05,PEC
743,6,28,3,7,2010,6,40,2,4,2011,7/6/10,PEC
749,30,52,4,12,2006,30,64,3,9,2007,12/30/06,PEC
751,4,28,3,7,2010,4,40,2,4,2011,7/4/10,PEC
753,1,10,1,3,2005,1,50,4,12,2005,3/1/05,PEC
755,19,42,4,10,2006,19,54,3,7,2007,10/19/06,PEC
757,12,41,4,10,2006,12,53,3,7,2007,10/12/06,PEC
761,13,41,4,10,2006,13,53,3,7,2007,10/13/06,PEC
763,10,41,4,10,2006,10,53,3,7,2007,10/10/06,PEC
765,17,42,4,10,2006,17,54,3,7,2007,10/17/06,PEC
769,3,49,4,12,2007,3,61,3,9,2008,12/3/07,PEC
773,15,42,4,10,2006,15,54,3,7,2007,10/15/06,PEC
779,6,49,4,12,2008,6,61,3,9,2009,12/6/08,PEC
781,5,49,4,12,2007,5,61,3,9,2008,12/5/07,PEC
785,5,49,4,12,2008,5,61,3,9,2009,12/5/08,PEC
787,1,48,4,12,2007,1,60,3,9,2008,12/1/07,PEC
793,2,49,4,12,2007,2,61,3,9,2008,12/2/07,PEC
795,1,49,4,12,2008,1,61,3,9,2009,12/1/08,PEC
797,7,11,1,3,2005,7,51,4,12,2005,3/7/05,PEC
799,8,50,4,12,2008,8,62,3,9,2009,12/8/08,PEC
807,9,50,4,12,2008,9,62,3,9,2009,12/9/08,PEC
809,30,18,2,4,2007,30,30,1,1,2008,4/30/07,PEC
815,8,11,1,3,2005,8,51,4,12,2005,3/8/05,PEC
817,9,11,1,3,2005,9,51,4,12,2005,3/9/05,PEC
821,13,24,2,6,2006,13,36,1,3,2007,6/13/06,PEC
823,15,3,1,1,2009,15,43,4,10,2009,1/15/09,PEC
827,17,7,1,2,2006,17,47,4,11,2006,2/17/06,PEC
835,24,39,3,9,2007,24,51,2,6,2008,9/24/07,PEC
839,25,39,3,9,2007,25,51,2,6,2008,9/25/07,PEC
842,13,7,1,2,2006,13,47,4,11,2006,2/13/06,PEC
846,12,7,1,2,2006,12,47,4,11,2006,2/12/06,PEC
848,11,6,1,2,2006,11,46,4,11,2006,2/11/06,PEC
852,10,6,1,2,2006,10,46,4,11,2006,2/10/06,PEC
856,19,8,1,2,2006,19,48,4,11,2006,2/19/06,PEC
858,30,44,4,10,2006,30,56,3,7,2007,10/30/06,PEC
862,27,52,4,12,2008,27,64,3,9,2009,12/27/08,PEC
866,20,51,4,12,2008,20,63,3,9,2009,12/20/08,PEC
868,21,52,4,12,2008,21,64,3,9,2009,12/21/08,PEC
870,12,46,4,11,2007,12,58,3,8,2008,11/12/07,PEC
874,13,46,4,11,2007,13,58,3,8,2008,11/13/07,PEC
876,14,46,4,11,2007,14,58,3,8,2008,11/14/07,PEC
878,28,22,2,5,2009,28,34,1,2,2010,5/28/09,PEC
886,18,47,4,11,2007,18,59,3,8,2008,11/18/07,PEC
888,19,47,4,11,2007,19,59,3,8,2008,11/19/07,PEC
892,23,21,2,5,2009,23,33,1,2,2010,5/23/09,PEC
894,21,21,2,5,2009,21,33,1,2,2010,5/21/09,PEC
898,20,21,2,5,2009,20,33,1,2,2010,5/20/09,PEC
900,22,26,2,6,2010,22,38,1,3,2011,6/22/10,PEC
904,7,32,3,8,2008,7,44,2,5,2009,8/7/08,PEC
908,4,32,3,8,2008,4,44,2,5,2009,8/4/08,PEC
912,21,26,2,6,2010,21,38,1,3,2011,6/21/10,PEC
914,26,26,2,6,2010,26,38,1,3,2011,6/26/10,PEC
918,3,32,3,8,2008,3,44,2,5,2009,8/3/08,PEC
920,24,26,2,6,2010,24,38,1,3,2011,6/24/10,PEC
922,1,31,3,8,2008,1,43,2,5,2009,8/1/08,PEC
930,29,27,2,6,2010,29,39,1,3,2011,6/29/10,PEC
942,8,32,3,8,2008,8,44,2,5,2009,8/8/08,PEC
946,9,32,3,8,2008,9,44,2,5,2009,8/9/08,PEC
948,27,26,2,6,2007,27,38,1,3,2008,6/27/07,PEC
954,18,4,1,1,2009,18,44,4,10,2009,1/18/09,PEC
958,30,1,4,12,2009,30,41,3,9,2010,12/30/09,PEC
962,31,1,4,12,2009,31,41,3,9,2010,12/31/09,PEC
964,9,33,3,8,2009,9,45,2,5,2010,8/9/09,PEC
968,31,23,2,5,2009,31,35,1,2,2010,5/31/09,PEC
976,5,2,1,1,2010,5,42,4,10,2010,1/5/10,PEC
978,31,36,3,8,2005,31,48,2,5,2006,8/31/05,PEC
980,6,2,1,1,2010,6,42,4,10,2010,1/6/10,PEC
982,3,2,1,1,2010,3,42,4,10,2010,1/3/10,PEC
984,2,1,1,1,2010,2,41,4,10,2010,1/2/10,PEC
988,9,2,1,1,2010,9,42,4,10,2010,1/9/10,PEC
990,8,2,1,1,2010,8,42,4,10,2010,1/8/10,PEC
998,17,12,1,3,2005,17,24,4,12,2005,3/17/05,PEC
1002,31,23,2,5,2010,31,35,1,2,2011,5/31/10,PEC
1010,15,12,1,3,2005,15,24,4,12,2005,3/15/05,PEC
1012,12,11,1,3,2005,12,51,4,12,2005,3/12/05,PEC
1014,12,51,4,12,2005,12,63,3,9,2006,12/12/05,PEC
1016,17,29,3,7,2006,17,41,2,4,2007,7/17/06,PEC
1018,10,50,4,12,2005,10,62,3,9,2006,12/10/05,PEC
1022,15,28,3,7,2006,15,40,2,4,2007,7/15/06,PEC
1026,16,51,4,12,2005,16,63,3,9,2006,12/16/05,PEC
1028,13,28,3,7,2006,13,40,2,4,2007,7/13/06,PEC
1034,10,28,3,7,2006,10,40,2,4,2007,7/10/06,PEC
1038,15,51,4,12,2005,15,63,3,9,2006,12/15/05,PEC
1042,12,7,1,2,2005,12,47,4,11,2005,2/12/05,PEC
1044,13,8,1,2,2005,13,48,4,11,2005,2/13/05,PEC
1048,10,7,1,2,2005,10,47,4,11,2005,2/10/05,PEC
1050,19,52,4,12,2005,19,64,3,9,2006,12/19/05,PEC
1054,16,8,1,2,2005,16,48,4,11,2005,2/16/05,PEC
1056,15,29,3,7,2005,15,41,2,4,2006,7/15/05,PEC
1058,18,29,3,7,2006,18,41,2,4,2007,7/18/06,PEC
1060,15,8,1,2,2005,15,48,4,11,2005,2/15/05,PEC
1066,3,44,4,11,2006,3,56,3,8,2007,11/3/06,PEC
1070,21,21,2,5,2006,21,33,1,2,2007,5/21/06,PEC
1072,28,4,1,1,2006,28,44,4,10,2006,1/28/06,PEC
1074,29,5,1,1,2006,29,45,4,10,2006,1/29/06,PEC
1076,25,9,1,2,2009,25,49,4,11,2009,2/25/09,PEC
1078,24,9,1,2,2009,24,49,4,11,2009,2/24/09,PEC
1080,20,3,1,1,2006,20,43,4,10,2006,1/20/06,PEC
1086,26,9,1,2,2009,26,49,4,11,2009,2/26/09,PEC
1090,21,8,1,2,2009,21,48,4,11,2009,2/21/09,PEC
1094,20,8,1,2,2009,20,48,4,11,2009,2/20/09,PEC
1096,24,4,1,1,2006,24,44,4,10,2006,1/24/06,PEC
1100,22,9,1,2,2009,22,49,4,11,2009,2/22/09,PEC
1104,28,35,3,8,2009,28,47,2,5,2010,8/28/09,PEC
1110,29,35,3,8,2009,29,47,2,5,2010,8/29/09,PEC
1116,13,3,1,1,2010,13,43,4,10,2010,1/13/10,PEC
1118,21,34,3,8,2009,21,46,2,5,2010,8/21/09,PEC
1122,23,35,3,8,2009,23,47,2,5,2010,8/23/09,PEC
1130,24,35,3,8,2009,24,47,2,5,2010,8/24/09,PEC
1134,25,35,3,8,2009,25,47,2,5,2010,8/25/09,PEC
1138,26,35,3,8,2009,26,47,2,5,2010,8/26/09,PEC
1140,27,35,3,8,2009,27,47,2,5,2010,8/27/09,PEC
1142,25,48,4,11,2009,25,60,3,8,2010,11/25/09,PEC
1146,30,44,4,10,2007,30,56,3,7,2008,10/30/07,PEC
1148,31,44,4,10,2007,31,56,3,7,2008,10/31/07,PEC
1150,22,17,2,4,2005,22,29,1,1,2006,4/22/05,PEC
1152,23,17,2,4,2005,23,29,1,1,2006,4/23/05,PEC
1157,11,42,4,10,2009,11,54,3,7,2010,10/11/09,PEC
1159,21,17,2,4,2005,21,29,1,1,2006,4/21/05,PEC
1163,26,18,2,4,2005,26,30,1,1,2006,4/26/05,PEC
1165,27,18,2,4,2005,27,30,1,1,2006,4/27/05,PEC
1167,15,42,4,10,2009,15,54,3,7,2010,10/15/09,PEC
1169,25,18,2,4,2005,25,30,1,1,2006,4/25/05,PEC
1177,21,47,4,11,2009,21,59,3,8,2010,11/21/09,PEC
1179,28,18,2,4,2005,28,30,1,1,2006,4/28/05,PEC
1181,18,43,4,10,2009,18,55,3,7,2010,10/18/09,PEC
1188,20,47,4,11,2009,20,59,3,8,2010,11/20/09,PEC
1194,11,3,1,1,2010,11,43,4,10,2010,1/11/10,PEC
1198,16,42,4,10,2006,16,54,3,7,2007,10/16/06,PEC
1202,24,35,3,8,2008,24,47,2,5,2009,8/24/08,PEC
1204,27,35,3,8,2008,27,47,2,5,2009,8/27/08,PEC
1206,26,35,3,8,2008,26,47,2,5,2009,8/26/08,PEC
1210,21,34,3,8,2008,21,46,2,5,2009,8/21/08,PEC
1214,20,34,3,8,2008,20,46,2,5,2009,8/20/08,PEC
1216,22,34,3,8,2008,22,46,2,5,2009,8/22/08,PEC
1222,27,35,3,8,2010,27,47,2,5,2011,8/27/10,PEC
1226,26,35,3,8,2010,26,47,2,5,2011,8/26/10,PEC
1228,25,35,3,8,2010,25,47,2,5,2011,8/25/10,PEC
1232,24,35,3,8,2010,24,47,2,5,2011,8/24/10,PEC
1234,29,35,3,8,2008,29,47,2,5,2009,8/29/08,PEC
1238,8,46,4,11,2009,8,58,3,8,2010,11/8/09,PEC
1242,6,45,4,11,2009,6,57,3,8,2010,11/6/09,PEC
1244,7,45,4,11,2009,7,57,3,8,2010,11/7/09,PEC
1248,4,45,4,11,2009,4,57,3,8,2010,11/4/09,PEC
1252,3,45,4,11,2009,3,57,3,8,2010,11/3/09,PEC
1254,1,45,4,11,2009,1,57,3,8,2010,11/1/09,PEC
1256,26,26,2,6,2009,26,38,1,3,2010,6/26/09,PEC
1262,27,26,2,6,2009,27,38,1,3,2010,6/27/09,PEC
1266,24,26,2,6,2009,24,38,1,3,2010,6/24/09,PEC
1268,22,26,2,6,2009,22,38,1,3,2010,6/22/09,PEC
1274,23,26,2,6,2009,23,38,1,3,2010,6/23/09,PEC
1276,20,25,2,6,2009,20,37,1,3,2010,6/20/09,PEC
1278,30,27,2,6,2005,30,39,1,3,2006,6/30/05,PEC
1280,28,27,2,6,2009,28,39,1,3,2010,6/28/09,PEC
1284,5,41,4,10,2009,5,53,3,7,2010,10/5/09,PEC
1286,30,27,2,6,2010,30,39,1,3,2011,6/30/10,PEC
1288,22,43,4,10,2007,22,55,3,7,2008,10/22/07,PEC
1290,24,43,4,10,2007,24,55,3,7,2008,10/24/07,PEC
1292,30,31,3,7,2007,30,43,2,4,2008,7/30/07,PEC
1294,28,44,4,10,2007,28,56,3,7,2008,10/28/07,PEC
1300,9,6,1,2,2006,9,46,4,11,2006,2/9/06,PEC
1302,9,28,3,7,2010,9,40,2,4,2011,7/9/10,PEC
1304,3,27,3,7,2010,3,39,2,4,2011,7/3/10,PEC
1314,5,15,2,4,2009,5,27,1,1,2010,4/5/09,PEC
1316,6,15,2,4,2009,6,27,1,1,2010,4/6/09,PEC
1318,7,15,2,4,2009,7,27,1,1,2010,4/7/09,PEC
1322,3,14,2,4,2009,3,26,1,1,2010,4/3/09,PEC
1324,1,5,1,2,2006,1,45,4,11,2006,2/1/06,PEC
1328,26,21,2,5,2006,26,33,1,2,2007,5/26/06,PEC
1330,12,7,1,2,2009,12,47,4,11,2009,2/12/09,PEC
1332,3,5,1,2,2006,3,45,4,11,2006,2/3/06,PEC
1334,11,24,2,6,2006,11,36,1,3,2007,6/11/06,PEC
1338,2,5,1,2,2006,2,45,4,11,2006,2/2/06,PEC
1342,23,8,1,2,2007,23,48,4,11,2007,2/23/07,PEC
1348,5,6,1,2,2006,5,46,4,11,2006,2/5/06,PEC
1360,15,8,1,2,2009,15,48,4,11,2009,2/15/09,PEC
1362,14,28,3,7,2006,14,40,2,4,2007,7/14/06,PEC
1368,14,7,1,2,2009,14,47,4,11,2009,2/14/09,PEC
1370,14,24,2,6,2006,14,36,1,3,2007,6/14/06,PEC
1372,16,51,4,12,2008,16,63,3,9,2009,12/16/08,PEC
1380,15,51,4,12,2008,15,63,3,9,2009,12/15/08,PEC
1382,30,5,1,1,2006,30,45,4,10,2006,1/30/06,PEC
1384,17,24,2,6,2006,17,36,1,3,2007,6/17/06,PEC
1388,11,50,4,12,2008,11,62,3,9,2009,12/11/08,PEC
1392,16,24,2,6,2006,16,36,1,3,2007,6/16/06,PEC
1397,19,51,4,12,2008,19,63,3,9,2009,12/19/08,PEC
1399,28,22,2,5,2006,28,34,1,2,2007,5/28/06,PEC
1401,18,25,2,6,2006,18,37,1,3,2007,6/18/06,PEC
1403,19,25,2,6,2008,19,37,1,3,2009,6/19/08,PEC
1409,18,25,2,6,2008,18,37,1,3,2009,6/18/08,PEC
1413,28,9,1,2,2006,28,49,4,11,2006,2/28/06,PEC
1415,11,24,2,6,2008,11,36,1,3,2009,6/11/08,PEC
1417,13,24,2,6,2008,13,36,1,3,2009,6/13/08,PEC
1423,12,24,2,6,2008,12,36,1,3,2009,6/12/08,PEC
1425,14,24,2,6,2008,14,36,1,3,2009,6/14/08,PEC
1429,25,8,1,2,2006,25,48,4,11,2006,2/25/06,PEC
1431,24,8,1,2,2006,24,48,4,11,2006,2/24/06,PEC
1435,12,20,2,5,2009,12,32,1,2,2010,5/12/09,PEC
1437,2,23,2,6,2008,2,35,1,3,2009,6/2/08,PEC
1439,1,36,3,9,2005,1,48,2,6,2006,9/1/05,PEC
1443,18,16,2,4,2009,18,28,1,1,2010,4/18/09,PEC
1445,19,17,2,4,2009,19,29,1,1,2010,4/19/09,PEC
1447,6,40,4,10,2007,6,52,3,7,2008,10/6/07,PEC
1449,18,46,4,11,2006,18,58,3,8,2007,11/18/06,PEC
1451,4,40,4,10,2007,4,52,3,7,2008,10/4/07,PEC
1455,7,37,3,9,2005,7,49,2,6,2006,9/7/05,PEC
1457,12,16,2,4,2009,12,28,1,1,2010,4/12/09,PEC
1459,14,46,4,11,2006,14,58,3,8,2007,11/14/06,PEC
1461,10,15,2,4,2009,10,27,1,1,2010,4/10/09,PEC
1467,11,15,2,4,2009,11,27,1,1,2010,4/11/09,PEC
1469,16,16,2,4,2009,16,28,1,1,2010,4/16/09,PEC
1471,17,16,2,4,2009,17,28,1,1,2010,4/17/09,PEC
1473,14,16,2,4,2009,14,28,1,1,2010,4/14/09,PEC
1475,12,46,4,11,2006,12,58,3,8,2007,11/12/06,PEC
1477,13,20,2,5,2009,13,32,1,2,2010,5/13/09,PEC
1487,12,24,2,6,2010,12,36,1,3,2011,6/12/10,PEC
1489,13,25,2,6,2010,13,37,1,3,2011,6/13/10,PEC
1491,31,23,2,5,2005,31,35,1,2,2006,5/31/05,PEC
1493,11,24,2,6,2010,11,36,1,3,2011,6/11/10,PEC
1497,16,25,2,6,2010,16,37,1,3,2011,6/16/10,PEC
1499,14,25,2,6,2010,14,37,1,3,2011,6/14/10,PEC
1505,15,25,2,6,2010,15,37,1,3,2011,6/15/10,PEC
1507,18,25,2,6,2010,18,37,1,3,2011,6/18/10,PEC
1509,2,36,3,9,2009,2,48,2,6,2010,9/2/09,PEC
1513,5,36,3,9,2009,5,48,2,6,2010,9/5/09,PEC
1517,7,37,3,9,2009,7,49,2,6,2010,9/7/09,PEC
1519,29,39,3,9,2006,29,51,2,6,2007,9/29/06,PEC
1521,28,39,3,9,2006,28,51,2,6,2007,9/28/06,PEC
1523,6,6,1,2,2008,6,46,4,11,2008,2/6/08,PEC
1525,21,38,3,9,2006,21,50,2,6,2007,9/21/06,PEC
1531,20,38,3,9,2006,20,50,2,6,2007,9/20/06,PEC
1533,23,38,3,9,2006,23,50,2,6,2007,9/23/06,PEC
1537,22,38,3,9,2006,22,50,2,6,2007,9/22/06,PEC
1541,25,39,3,9,2006,25,51,2,6,2007,9/25/06,PEC
1545,27,39,3,9,2006,27,51,2,6,2007,9/27/06,PEC
1547,26,39,3,9,2006,26,51,2,6,2007,9/26/06,PEC
1549,4,6,1,2,2008,4,46,4,11,2008,2/4/08,PEC
1551,3,6,1,2,2008,3,46,4,11,2008,2/3/08,PEC
1555,28,35,3,8,2007,28,47,2,5,2008,8/28/07,PEC
1561,30,18,2,4,2005,30,30,1,1,2006,4/30/05,PEC
1569,25,34,3,8,2007,25,46,2,5,2008,8/25/07,PEC
1573,26,35,3,8,2007,26,47,2,5,2008,8/26/07,PEC
1575,27,35,3,8,2007,27,47,2,5,2008,8/27/07,PEC
1577,20,34,3,8,2007,20,46,2,5,2008,8/20/07,PEC
1581,22,34,3,8,2007,22,46,2,5,2008,8/22/07,PEC
1583,23,34,3,8,2007,23,46,2,5,2008,8/23/07,PEC
1587,28,35,3,8,2006,28,47,2,5,2007,8/28/06,PEC
1589,21,34,3,8,2006,21,46,2,5,2007,8/21/06,PEC
1591,3,32,3,8,2010,3,44,2,5,2011,8/3/10,PEC
1595,23,34,3,8,2006,23,46,2,5,2007,8/23/06,PEC
1597,22,34,3,8,2006,22,46,2,5,2007,8/22/06,PEC
1599,27,35,3,8,2006,27,47,2,5,2007,8/27/06,PEC
1601,26,34,3,8,2006,26,46,2,5,2007,8/26/06,PEC
1605,28,9,1,2,2007,28,49,4,11,2007,2/28/07,PEC
1613,20,8,1,2,2007,20,48,4,11,2007,2/20/07,PEC
1615,21,8,1,2,2007,21,48,4,11,2007,2/21/07,PEC
1619,26,9,1,2,2007,26,49,4,11,2007,2/26/07,PEC
1625,27,9,1,2,2007,27,49,4,11,2007,2/27/07,PEC
1627,24,8,1,2,2007,24,48,4,11,2007,2/24/07,PEC
1629,25,9,1,2,2007,25,49,4,11,2007,2/25/07,PEC
1633,2,32,3,8,2010,2,44,2,5,2011,8/2/10,PEC
1635,14,20,2,5,2009,14,32,1,2,2010,5/14/09,PEC
1637,1,32,3,8,2010,1,44,2,5,2011,8/1/10,PEC
1639,29,26,2,6,2006,29,38,1,3,2007,6/29/06,PEC
1641,28,26,2,6,2006,28,38,1,3,2007,6/28/06,PEC
1645,10,24,2,6,2007,10,36,1,3,2008,6/10/07,PEC
1647,17,8,1,2,2008,17,48,4,11,2008,2/17/08,PEC
1651,16,7,1,2,2008,16,47,4,11,2008,2/16/08,PEC
1653,12,7,1,2,2008,12,47,4,11,2008,2/12/08,PEC
1655,2,49,4,12,2009,2,61,3,9,2010,12/2/09,PEC
1659,19,8,1,2,2007,19,48,4,11,2007,2/19/07,PEC
